Name,Location,State(s),Counties,Type,Length,Uses
Boundary Trail,"Rogue and Siskiyou National Forests, In Siskyou National Forest. S and W of Oregon Caves NM, SE of Cave Junction.",Oregon,Josephine,['Backcountry'],15.60 Miles / 25.11 Km,"['Bicycling (off pavement)', 'Camping', 'Camping', 'Dogs - On leash', 'Equestrian - Riding', 'Equestrian - Pack trips', 'Equestrian - Other stock', 'Motorized vehicles - Motorcycling', 'Wildlife Observation']"
Brandywine Trail,"Running north-south on the eastern side of the Brandywine Creek in Brandywine Creek State Park, Delaware.",Delaware,New Castle,"['Equestrian', 'Trail', 'Mountain', 'Bike', 'Trail', 'Nature', 'Trail']",2.50 Miles / 4.02 Km,"['Bicycling (off pavement)', 'Dogs - On leash', 'Equestrian - Riding', 'Pedestrian - Walking/Hiking/Running', 'Wildlife Observation']"
Bridger Foothills,"West Bridger Mountain Range, no. of Bozeman, MT",Montana,Gallatin,['Backcountry'],20.20 Miles / 32.51 Km,"['Bicycling (off pavement)', 'Camping', 'Dogs - On leash', 'Equestrian - Riding', 'Pedestrian - Walking/Hiking/Running']"
Bronx River Blueway,The watertrail extends eight miles from Shoelace Park on East 219th Street to Soundview Park at the East River.  The Bronx River is a unique and interesting way to explore the only freshwater river in New York City.,New York,Bronx,"['Water', 'Trail', 'National', 'Water', 'Trails', 'System']",8.00 Miles / 12.87 Km,"['Boating, non-motorized: Canoeing', 'Boating, non-motorized: Kayaking']"
Brushy Creek Regional Trail &amp; Conservation Corridor,Cedar park to Round Rock,Texas,Williamson County,"['Urban', 'trail/bikeway']",3.00 Miles / 4.83 Km,"['Bicycling (on pavement)', 'Bicycling (off pavement)', 'Dogs - On leash', 'Caving']"
Bucking Mule Falls,Bighorn National Forest,Wyoming,BIg Horn,['Backcountry'],17.00 Miles / 27.36 Km,"['Bicycling (off pavement)', 'Camping', 'Dogs - On leash', 'Equestrian - Riding', 'Pedestrian - Walking/Hiking/Running']"
Buffalo Track Canyon Trail,rural,Kansas,Ellsworth,"['Nature', 'Trail']",1.50 Miles / 2.41 Km,"['Camping', 'Dogs - On leash', 'Pedestrian - Walking/Hiking/Running', 'Wildlife Observation']"
Bulls Island Wildlife,"At Cape Romain NWR, NE of Charleston.",Georgia,,[],2.00 Miles / 3.22 Km,[]
Burdette Park/University of Southern Indiana,"Burdette Park, 5301 Nurrenbern Road, Evansville, Indiana 47712 , In Evansville at Burdette Park, north of Nurrenburn Road.",Indiana,Vanderburgh,"['Nature', 'Trail']",3.00 Miles / 4.83 Km,"['Bicycling (on pavement)', 'Camping', 'Dogs - On leash', 'Heritage and History', 'Pedestrian - Walking/Hiking/Running']"
Burr Oak Nature Trail,"At Wilson Lake, just below Wilson Dam off SR 232 10 mi. N of I-70.",Kansas,Russell County,[],0.75 Miles / 1.21 Km,[]
Buttercup Valley,On slopes just north of downtown Cincinnati (recert’d 1991).,Ohio,,[],1.00 Miles / 1.61 Km,[]
Caldwell Park,"In Cincinnati’s Caldwell Park, N of downtown on North Bend Rd.",Ohio,,[],1.50 Miles / 2.41 Km,[]
California Aqueduct Bikeway,Follows I-580 and I-5 S from near Tracy to San Luis Reservoir State Recreation Area,California,Sacramento,[],67.00 Miles / 107.83 Km,[]
Callaway Gardens,At Callaway Gardens on US 27 N of Columbus. (recertified 1991),Georgia,,[],9.90 Miles / 15.93 Km,[]
Cameron Park Trails,"Waco, Texas, At Cameron Park west of Herring Avenue along south shore of Lake Brazos and the Bosque River.<br/>",Texas,McLennan,['Backcountry'],20.00 Miles / 32.19 Km,"['Dogs - On leash', 'Fishing', 'Pedestrian - Walking/Hiking/Running']"
Camp Creek,In San Bernardino National Forest on State Route 18 1 mi. east of Snow Valley Ski Area.,California,San Bernardino,[],2.20 Miles / 3.54 Km,"['Bicycling (on pavement)', 'Bicycling (off pavement)', 'Dogs - On leash', 'Fishing', 'Pedestrian - Walking/Hiking/Running', 'Wildlife Observation', 'Wildlife Observation']"
Canaan Valley Institute Trail System,"Davis, WV",West Virginia,Tucker,"['Backcountry', 'Mountain', 'Bike', 'Trail', 'Nature', 'Trail', 'Snow', 'Trail']",6.50 Miles / 10.46 Km,"['Bicycling (off pavement)', 'Camping', 'Dogs - Off leash', 'Dogs - On leash', 'Equestrian - Riding', 'Pedestrian - Walking/Hiking/Running', 'Snow - Cross-country Skiing', 'Wildlife Observation']"
Canones Creek,"In Santa Fe National Forest, 4 mi. S of Canones on Forest Rd. 99.",New Mexico,,[],12.50 Miles / 20.12 Km,[]
Cape Alava Trail,In Olympic National Park at Cape Alava near Ozette.,Washington,Jefferson,['Backcountry'],3.30 Miles / 5.31 Km,['Pedestrian - Walking/Hiking/Running']
Cardinal Greenway,East-Central Indiana,Indiana,"Wayne, Randolph, Delaware, Henry","['Greenway', 'Rail', 'Trail']",30.00 Miles / 48.28 Km,"['Bicycling (on pavement)', 'Bicycling (off pavement)', 'Equestrian - Riding', 'Pedestrian - Walking/Hiking/Running', 'Roller/Inline Skating', 'Skateboarding', 'Snow - Cross-country Skiing', 'Snow - Snowshoeing', 'Wildlife Observation']"
Caribou Ridge,"Beauty Creek Campground, Beauty Bay, east side of Lake Coeur d'Alene",Idaho,Kootenai,['Backcountry'],4.60 Miles / 7.40 Km,"['Dogs - Off leash', 'Dogs - On leash', 'Pedestrian - Walking/Hiking/Running', 'Wildlife Observation']"
Carlyle Lake Multi-Use Trail,"On U.S. Army Corps of Engineers Managed public lands at the Carlyle Lake Project and the City of Carlyle, IL. 50 miles east of St. Louis MO.",Illinois,Clinton,"['Fitness', 'Trail']",10.30 Miles / 16.58 Km,"['Bicycling (on pavement)', 'Camping', 'Dogs - On leash', 'Fishing', 'Heritage and History', 'Pedestrian - Walking/Hiking/Running', 'Roller/Inline Skating', 'Skateboarding', 'Swimming', 'Wildlife Observation']"
Carson Emigrant Historic,Caples Lake Dam parking area.,California,El Dorado,['Backcountry'],15.00 Miles / 24.14 Km,"['Camping', 'Motorized vehicles - Snowmobiling', 'Pedestrian - Walking/Hiking/Running']"
Cascade Falls,"Cedar City Ranger District, In Dixie, 35 mi. SE of Cedar City, off SR 14 on Dry Valley Rd.",Utah,Kane,['Backcountry'],0.50 Miles / 0.80 Km,"['Dogs - On leash', 'Pedestrian - Walking/Hiking/Running', 'Wildlife Observation', 'Wildlife Observation']"
Cascades,"NE of Pearisburg, at N end of county rd. 623.",Virginia,Giles,['Backcountry'],3.90 Miles / 6.28 Km,"['Dogs - On leash', 'Fishing']"
Cason J Gallaway,At Cason J. Callaway Memorial Forest just W of Hamilton. (recertified 1991)<br/>,Georgia,,[],8.00 Miles / 12.87 Km,[]
Cattail Trail,West Lafayette,Indiana,Tippecanoe,"['Greenway', 'Rail', 'Trail', 'Snow', 'Trail', 'Urban', 'Trail']",4.00 Miles / 6.44 Km,"['Bicycling (on pavement)', 'Bicycling (off pavement)', 'Dogs - Mushing', 'Dogs - On leash', 'Pedestrian - Walking/Hiking/Running', 'Roller/Inline Skating', 'Skateboarding', 'Snow - Cross-country Skiing', 'Wildlife Observation']"
Cedar Creek Self-Guiding Trail,"At Petit Jean SP, 18 mi. SW of Morrilton.",Arkansas,,[],1.50 Miles / 2.41 Km,[]
Cedar Falls,"Petit Jean State Park, 21 miles south of Morrillton, starts at Mather Lodge.",Arkansas,,['Backcountry'],2.20 Miles / 3.54 Km,[]
Cedar Grove Trail,In Malheur National Forest at Cedar Grove Roadless Area southwest of Mt. Vernon.,Oregon,Grant,"['Backcountry', 'Nature', 'Trail']",1.00 Miles / 1.61 Km,"['Pedestrian - Walking/Hiking/Running', 'Wildlife Observation']"
Cedar Valley Nature Trail,"Connects the Linn County Metro area to Waterloo, IA",Iowa,"Benton, Black Hawk, Buchanan, Linn","['Rail', 'Trail']",52.00 Miles / 83.69 Km,"['Bicycling (on pavement)', 'Camping', 'Dogs - On leash', 'Fishing', 'Pedestrian - Walking/Hiking/Running', 'Roller/Inline Skating', 'Snow - Cross-country Skiing', 'Snow - Snowshoeing', 'Wildlife Observation']"
Centennial Trail,"6.5 miles west of Butler, OK, On State Route 33 between Butler and Hammon.",Oklahoma,Custer,[],0.33 Miles / 0.53 Km,"['Dogs - On leash', 'Pedestrian - Walking/Hiking/Running', 'Wildlife Observation']"
Central Arizona Project (CAP)Trail,"Eastern Pima County, AZ, west and northwest of the City of Tucson (Pima County segment); east of Interstate 10.",Arizona,"Pima, Maricopa, Pinal, La Paz",[],8.00 Miles / 12.87 Km,[]
Central Park Heritage,Explores the length of Central Park in downtown Manhattan.,New York,,[],3.70 Miles / 5.95 Km,"['Bicycling (on pavement)', 'Camping', 'Camping', 'Pedestrian - Walking/Hiking/Running']"
Chattahoochee Valley Railroad (CVRR) Trail - North,Paved rail-trail within the city limits of Valley in east Alabama.,Alabama,Chambers,['Greenway'],1.40 Miles / 2.25 Km,"['Dogs - On leash', 'Pedestrian - Walking/Hiking/Running', 'Roller/Inline Skating']"
Chenango Canal Towpath Trail,From Bouckville to Elisha Payne Airport,New York,Madison,['Greenway'],6.00 Miles / 9.66 Km,"['Dogs - On leash', 'Fishing', 'Pedestrian - Walking/Hiking/Running']"
Cherry Creek,Winema National Forest,Oregon,Klamath,['Backcountry'],5.30 Miles / 8.53 Km,[]
Chichaqua Valley Trail,"Bondurant to Baxter, northeast of Des Moines, railtrail links Bondurant to Baxter.",Iowa,"Jasper, Polk","['Greenway', 'Rail', 'Trail']",20.00 Miles / 32.19 Km,"['Bicycling (on pavement)', 'Dogs - On leash', 'Pedestrian - Walking/Hiking/Running', 'Roller/Inline Skating', 'Skateboarding']"
Chicot Nature,At Chicot State Park 35 mi. S of Alexandria.,Louisiana,,[],10.20 Miles / 16.42 Km,[]
Chief Ladiga Trail (Jacksonville Section),Paved rail-trail within the city limits of Jacksonville in east-central Alabama,Alabama,Calhoun,"['Backcountry', 'Greenway', 'Nature', 'Trail', 'Rail', 'Trail']",9.00 Miles / 14.48 Km,"['Bicycling (on pavement)', 'Dogs - On leash', 'Pedestrian - Walking/Hiking/Running', 'Wildlife Observation']"
Chilco Mountain,"CDA National Forest, Fernan RD, approx.. 30 miles from Coeur d'Alene.",Idaho,"Bonner, Kootenai",[],6.40 Miles / 10.30 Km,[]
Chipmunk Rapids Cross Country Ski Trail,In the Panhandle on SR 57 22.3 mi. N of Priest River to gravel rd. 057-022.,Idaho,Bonner,[],10.40 Miles / 16.74 Km,[]
